"seller","day_of_week","floor"
Burt Gringlesby,Sunday   ,4517341
Burt Gringlesby,Sunday   ,7253240
Burt Gringlesby,Sunday   ,6122302
Burt Gringlesby,Sunday   ,8063926
Burt Gringlesby,Sunday   ,9645608
Burt Gringlesby,Sunday   ,10530395
Burt Gringlesby,Sunday   ,8856899
Burt Gringlesby,Sunday   ,7868140
Burt Gringlesby,Sunday   ,11687396
Burt Gringlesby,Sunday   ,6428360
Burt Gringlesby,Sunday   ,6283397
Burt Gringlesby,Sunday   ,7891141
Burt Gringlesby,Sunday   ,12109293
Charlene Locksley,Sunday   ,5317358
Charlene Locksley,Sunday   ,7157972
Charlene Locksley,Sunday   ,6279608
Charlene Locksley,Sunday   ,5322457
Charlene Locksley,Sunday   ,6894335
Charlene Locksley,Sunday   ,8792064
Charlene Locksley,Sunday   ,5770945
Charlene Locksley,Sunday   ,8469273
Charlene Locksley,Sunday   ,6628659
Charlene Locksley,Sunday   ,6520551
Charlene Locksley,Sunday   ,5829587
Charlene Locksley,Sunday   ,7024115
Charlene Locksley,Sunday   ,6061865
Charlene Locksley,Sunday   ,7676322
Cheryl Carson,Sunday   ,6102332
Cheryl Carson,Sunday   ,4217321
Cheryl Carson,Sunday   ,3624983
Cheryl Carson,Sunday   ,5687163
Cheryl Carson,Sunday   ,5755571
Cheryl Carson,Sunday   ,5157942
Cheryl Carson,Sunday   ,4764320
Cheryl Carson,Sunday   ,7449443
Cheryl Carson,Sunday   ,4349912
Cheryl Carson,Sunday   ,4614712
Cheryl Carson,Sunday   ,2969948
Cheryl Carson,Sunday   ,4847041
Cheryl Carson,Sunday   ,4983781
Cheryl Carson,Sunday   ,5029120
Dean Straight,Sunday   ,16059511
Dean Straight,Sunday   ,10217006
Dean Straight,Sunday   ,14816544
Dean Straight,Sunday   ,10020219
Dean Straight,Sunday   ,14025328
Dean Straight,Sunday   ,13269405
Dean Straight,Sunday   ,11449234
Dean Straight,Sunday   ,10265667
Dean Straight,Sunday   ,10474760
Dean Straight,Sunday   ,14096844
Dean Straight,Sunday   ,14771134
Dean Straight,Sunday   ,13603649
Dean Straight,Sunday   ,11637356
Dean Straight,Sunday   ,12166342
Dirk Stringer,Sunday   ,52089909
Dirk Stringer,Sunday   ,32576029
Dirk Stringer,Sunday   ,57644601
Dirk Stringer,Sunday   ,36903631
Dirk Stringer,Sunday   ,79111246
Dirk Stringer,Sunday   ,45361022
Dirk Stringer,Sunday   ,39080655
Dirk Stringer,Sunday   ,50190039
Dirk Stringer,Sunday   ,48013015
Dirk Stringer,Sunday   ,51139974
Dirk Stringer,Sunday   ,48962949
Dirk Stringer,Sunday   ,57644601
Dirk Stringer,Sunday   ,50889267
Dirk Stringer,Sunday   ,49213657
Heather McBadden,Sunday   ,14195121
Heather McBadden,Sunday   ,23060992
Heather McBadden,Sunday   ,19618307
Heather McBadden,Sunday   ,20770924
Heather McBadden,Sunday   ,13424900
Heather McBadden,Sunday   ,21099203
Heather McBadden,Sunday   ,20044773
Heather McBadden,Sunday   ,11075161
Heather McBadden,Sunday   ,22672407
Heather McBadden,Sunday   ,23989939
Heather McBadden,Sunday   ,16690650
Heather McBadden,Sunday   ,19910010
Heather McBadden,Sunday   ,22654923
Heather McBadden,Sunday   ,17251073
Innes del Castillo,Sunday   ,22265948
Innes del Castillo,Sunday   ,17649985
Innes del Castillo,Sunday   ,16351425
Innes del Castillo,Sunday   ,15510382
Innes del Castillo,Sunday   ,13332276
Innes del Castillo,Sunday   ,11723357
Innes del Castillo,Sunday   ,10363735
Innes del Castillo,Sunday   ,18076535
Innes del Castillo,Sunday   ,27101264
Innes del Castillo,Sunday   ,14303850
Innes del Castillo,Sunday   ,24353339
Innes del Castillo,Sunday   ,13992519
Innes del Castillo,Sunday   ,19619873
Innes del Castillo,Sunday   ,20034998
Johnson White,Sunday   ,7642386
Johnson White,Sunday   ,8991390
Johnson White,Sunday   ,6565113
Johnson White,Sunday   ,5725852
Johnson White,Sunday   ,8019463
Johnson White,Sunday   ,5458343
Johnson White,Sunday   ,5505380
Johnson White,Sunday   ,5826804
Johnson White,Sunday   ,6343055
Johnson White,Sunday   ,4247426
Johnson White,Sunday   ,5108511
Johnson White,Sunday   ,6795008
Johnson White,Sunday   ,4086606
Johnson White,Sunday   ,8618642
Livia Karsen,Sunday   ,8205050
Livia Karsen,Sunday   ,16208662
Livia Karsen,Sunday   ,8388957
Livia Karsen,Sunday   ,10539386
Livia Karsen,Sunday   ,14452347
Livia Karsen,Sunday   ,8950158
Livia Karsen,Sunday   ,12065001
Livia Karsen,Sunday   ,16850295
Livia Karsen,Sunday   ,4082593
Livia Karsen,Sunday   ,10152201
Livia Karsen,Sunday   ,3479775
Livia Karsen,Sunday   ,11053794
Livia Karsen,Sunday   ,10833697
Livia Karsen,Sunday   ,2713463
Marjorie Green,Sunday   ,7066859
Marjorie Green,Sunday   ,9097000
Marjorie Green,Sunday   ,5411968
Marjorie Green,Sunday   ,8982035
Marjorie Green,Sunday   ,8958796
Marjorie Green,Sunday   ,5592534
Marjorie Green,Sunday   ,9673833
Marjorie Green,Sunday   ,8532066
Marjorie Green,Sunday   ,6375060
Marjorie Green,Sunday   ,5143455
Marjorie Green,Sunday   ,8661152
Marjorie Green,Sunday   ,7659702
Marjorie Green,Sunday   ,4950325
Marjorie Green,Sunday   ,8710741
Meander Smith,Sunday   ,4679473
Meander Smith,Sunday   ,3720195
Meander Smith,Sunday   ,1934348
Meander Smith,Sunday   ,2668014
